day,operate,price,investment,total_balance
1,buy,71.28069756606965,0.0,9928.71930243393
2,buy,71.62685874949284,0.0,9857.092443684438
3,buy,72.03073563883663,0.0,9785.061708045601
4,buy,71.7016805150297,0.0,9713.360027530573
5,sell,72.57018937407429,1.8090336543205385,9785.930216904646
6,sell,72.74898949213821,1.5666340284025273,9858.679206396784
7,sell,72.35650689895556,0.45226701800235625,9931.03571329574
8,sell,73.60664278268814,2.6567888701843474,10004.642356078428
13,buy,72.99081576583376,0.0,9931.651540312594
16,sell,72.86344090552393,-0.17450806512214817,10004.514981218119
17,buy,71.50291303490303,0.0,9933.012068183216
18,buy,72.88683832702463,0.0,9860.125229856192
19,sell,74.47032987392049,4.150064260415463,9934.595559730113
20,sell,74.19836965388822,1.799407625529154,10008.793929384
23,buy,71.71868450673537,0.0,9937.075244877266
25,sell,73.06898675396496,1.8827760945653995,10010.144231631231
31,buy,70.72825284326973,0.0,9939.415978787962
32,sell,70.93883333412714,0.29773178665115035,10010.354812122088
34,buy,70.12154082135203,0.0,9940.233271300736
35,buy,69.12957511676723,0.0,9871.103696183969
37,buy,68.74668404445401,0.0,9802.357012139515
38,buy,68.99160404039321,0.0,9733.365408099122
41,buy,67.10347881957432,0.0,9666.261929279548
42,buy,66.44966937765412,0.0,9599.812259901893
43,buy,65.74907129710118,0.0,9534.063188604792
44,buy,66.23862290382385,0.0,9467.824565700968
45,buy,66.59562580577767,0.0,9401.22893989519
47,buy,67.28449409780569,0.0,9333.944445797384
48,buy,66.55462451532003,0.0,9267.389821282064
49,sell,67.18325119437259,-4.190281035702413,9334.573072476436
50,buy,67.34313060113254,0.0,9267.229941875303
51,buy,67.27462539562839,0.0,9199.955316479674
52,sell,67.13061759511493,-2.891609731834527,9267.085934074788
53,buy,67.84504104688676,0.0,9199.240893027902
54,buy,68.27774907734238,0.0,9130.96314395056
55,sell,68.5034844501115,-0.35376192717201055,9199.46662840067
57,sell,68.56053317364058,-0.6248164146180031,9268.027161574311
58,buy,69.093605418675,0.0,9198.933556155636
59,sell,69.82275941836997,4.052369037538521,9268.756315574006
60,buy,69.26050080373898,0.0,9199.495814770267
61,sell,69.7850381244757,5.019391033935248,9269.280852894743
62,sell,70.63300167406851,7.428135912214255,9339.913854568811
63,sell,70.3421721304585,6.19510045157921,9410.25602669927
64,sell,70.2187271335606,5.440449404814516,9480.47475383283
65,sell,70.20168380330915,4.33560472530713,9550.676437636139
66,sell,70.66237483346413,6.17199833679258,9621.338812469603
67,sell,70.31643047911348,4.4151494761827,9691.655242948716
68,sell,70.4598733574635,4.734694460360511,9762.11511630618
69,sell,70.09098934045551,3.3104089243849097,9832.206105646635
70,sell,69.82374483196054,2.264274636334185,9902.029850478597
72,sell,70.5475840515328,2.104360633733564,9972.577434530129
73,sell,69.91201084394788,0.9406660833352412,10042.489445374076
75,buy,67.59931356360448,0.0,9974.890131810473
77,buy,66.91017322669995,0.0,9907.979958583772
