day,operate,price,investment,total_balance
0,buy,87.63844883382626,0.0,9912.361551166174
1,buy,88.40155686830622,0.0,9823.959994297868
2,buy,88.76391311886982,0.0,9735.196081178998
3,buy,91.92130041557812,0.0,9643.274780763419
4,buy,91.45156896694878,0.0,9551.82321179647
5,buy,92.515591485374,0.0,9459.307620311096
6,buy,91.81199648188522,0.0,9367.49562382921
7,buy,91.73002150466984,0.0,9275.76560232454
8,buy,93.6841569750868,0.0,9182.081445349453
9,buy,98.5542884286051,0.0,9083.527156920849
10,buy,100.23024420188449,0.0,8983.296912718964
11,buy,98.22046678824701,0.0,8885.076445930717
12,sell,95.74789588174463,9.25329824503731,8980.824341812462
13,buy,97.9477491708376,0.0,8882.876592641624
14,buy,99.82983407576286,0.0,8783.04675856586
15,buy,97.67312452255281,0.0,8685.373634043308
16,buy,99.60051898999518,0.0,8585.773115053313
17,sell,100.92441579372917,14.165880521853857,8686.697530847043
18,buy,108.04116764186709,0.0,8578.656363205177
19,buy,105.0396190017018,0.0,8473.616744203475
20,buy,102.8869927583196,0.0,8370.729751445155
21,buy,107.51387672972669,0.0,8263.215874715428
22,buy,99.32633310376106,0.0,8163.889541611667
23,sell,95.02564344560507,7.054364895280964,8258.915185057273
24,buy,94.66249976724339,0.0,8164.252685290029
25,buy,94.77063873275438,0.0,8069.482046557275
26,sell,94.83202134658222,3.166535849519836,8164.314067903857
27,sell,97.12546707381988,6.204265460903878,8261.439534977677
29,buy,94.48920749796798,0.0,8166.950327479709
30,buy,91.82096740038287,0.0,8075.129360079326
31,buy,91.71977197048,0.0,7983.409588108846
32,sell,91.03648767372943,-1.5987616658954318,8074.4460757825755
34,sell,90.26827113057425,-1.6813983035599815,8164.71434691315
35,sell,90.53531196974654,-1.302419333742847,8255.249658882896
38,buy,93.86048664197551,0.0,8161.389172240921
39,buy,95.21188613297544,0.0,8066.177286107945
41,sell,94.3293673992157,0.6887081497680384,8160.506653507161
42,buy,92.5099199098031,0.0,8067.996733597358
43,sell,90.95878268199156,-7.70692566271826,8158.9555162793495
44,sell,91.54881313379519,-8.661488493037185,8250.504329413145
45,buy,94.56172959500327,0.0,8155.942599818141
46,buy,96.72620346103031,0.0,8059.216396357111
47,buy,100.86626636338951,0.0,7958.350129993722
48,buy,102.1749473006512,0.0,7856.17518269307
49,buy,101.6473315171279,0.0,7754.5278511759425
50,buy,105.34167394855832,0.0,7649.186177227384
52,sell,105.8179683653807,7.735151161023393,7755.004145592765
53,buy,105.6140638773213,0.0,7649.390081715444
54,buy,102.69456026821354,0.0,7546.69552144723
55,sell,101.31832530150132,3.4411981481931364,7648.013846748731
56,buy,101.7611072708678,0.0,7546.2527394778635
57,buy,101.54349982819986,0.0,7444.709239649664
58,buy,104.24554911851374,0.0,7340.46369053115
59,buy,104.6220262447423,0.0,7235.841664286408
60,buy,104.93288399944504,0.0,7130.908780286963
61,sell,104.51168407131263,4.6898304889464395,7235.420464358275
62,buy,108.31629707153935,0.0,7127.104167286736
63,buy,106.36212593138406,0.0,7020.742041355352
64,sell,105.35153063533471,7.86132946019245,7126.0935719906865
65,buy,104.73974197329517,0.0,7021.353830017391
66,buy,107.52246434714834,0.0,6913.831365670243
68,buy,106.14407856664911,0.0,6807.687287103594
70,sell,104.40380713766808,4.822553332433328,6912.091094241262
71,sell,105.51718390185488,-2.336131490524675,7017.608278143117
72,sell,105.59759926136394,0.531209333168949,7123.205877404481
73,buy,106.21168828765803,0.0,7016.994189116823
74,buy,104.16034979960295,0.0,6912.83383931722
75,sell,104.07582603370065,1.155474801536491,7016.9096653509205
76,sell,108.32199905645757,0.751644672587127,7125.231664407378
77,buy,107.90134075872265,0.0,7017.330323648655
78,buy,107.53302382474796,0.0,6909.797299823907
79,buy,105.44486038648665,0.0,6804.352439437421
80,sell,105.54868040089787,6.264549493271482,6909.901119838319
83,buy,108.09165160726934,0.0,6801.809468231049
84,sell,107.7867640790846,13.864269741567378,6909.596232310134
85,sell,112.18211397528648,18.37222527499374,7021.77834628542
87,buy,117.86382337021315,0.0,6903.914522915207
88,buy,116.75690821504305,0.0,6787.157614700164
89,buy,119.73478660746879,0.0,6667.422828092695
90,sell,121.01468880600805,28.072498447624834,6788.4375168987035
91,buy,123.0510007402463,0.0,6665.386516158457
92,buy,122.81884598357557,0.0,6542.567670174882
93,buy,125.04711852364652,0.0,6417.520551651235
94,sell,122.60984786888004,33.53142679737089,6540.130399520115
96,buy,123.45969716732134,0.0,6416.670702352794
97,buy,124.52633168358352,0.0,6292.144370669211
98,buy,123.93778298458348,0.0,6168.206587684627
99,sell,122.99046169550276,34.09372816047475,6291.19704938013
100,sell,123.7320655537842,31.82551037238045,6414.929114933914
101,buy,124.55626807677892,0.0,6290.372846857135
102,buy,125.60585449904512,0.0,6164.76699235809
103,buy,126.86455868681152,0.0,6037.902433671278
104,buy,122.14254438877106,0.0,5915.759889282507
