day,operate,price,investment,total_balance
1,buy,105.08878124956208,0.0,9894.911218750438
2,sell,106.31226539611816,1.1642385914159485,10001.223484146556
7,buy,105.27249455451965,0.0,9895.950989592036
8,buy,104.56052957196881,0.0,9791.390460020068
9,sell,105.35999408047155,0.08311717730464063,9896.75045410054
10,sell,106.51732484194963,1.8714473597170884,10003.267778942489
12,buy,107.31053587520182,0.0,9895.957243067287
13,sell,109.13468352576912,1.6998774963613208,10005.091926593057
19,buy,104.51883316680322,0.0,9900.573093426254
20,buy,105.24816196427582,0.0,9795.324931461979
22,sell,106.52607060127774,1.920455265005817,9901.851002063257
23,buy,106.29076007105321,0.0,9795.560241992203
24,buy,107.31898227504644,0.0,9688.241259717157
26,sell,108.20194616530898,2.806494807990809,9796.443205882466
27,sell,109.22840523719788,2.763782255560978,9905.671611119664
28,sell,107.73837399174772,0.39078987501617424,10013.409985111412
30,buy,104.98070013766119,0.0,9908.42928497375
31,sell,105.01765206616346,0.035198782684646865,10013.446937039913
32,buy,103.78674916361707,0.0,9909.660187876296
33,buy,101.84770621881398,0.0,9807.812481657482
34,buy,102.77262744742619,0.0,9705.039854210056
35,buy,102.41594748162242,0.0,9602.623906728433
36,buy,101.71332594956766,0.0,9500.910580778866
38,sell,104.71692445169354,0.8962370394799366,9605.62750523056
40,buy,103.42995031514874,0.0,9502.19755491541
41,buy,102.58857518434525,0.0,9399.608979731065
42,buy,100.40718283979366,0.0,9299.201796891271
43,buy,99.50516100775984,0.0,9199.696635883512
44,buy,99.2322843627462,0.0,9100.464351520766
45,buy,99.67028695866611,0.0,9000.7940645621
46,buy,99.51625639265694,0.0,8901.277808169443
47,buy,100.65640637108936,0.0,8800.621401798355
48,buy,98.95727135339622,0.0,8701.664130444959
49,buy,100.07831082591201,0.0,8601.585819619046
51,buy,99.30768848939262,0.0,8502.278131129653
52,buy,98.63621785000034,0.0,8403.641913279653
53,buy,98.59001363538482,0.0,8305.051899644268
54,buy,99.01079288354231,0.0,8206.041106760726
55,buy,99.12453794979592,0.0,8106.91656881093
56,buy,101.08195998260727,0.0,8005.834608828322
57,buy,101.87182030988424,0.0,7903.962788518438
60,sell,104.36672592163086,2.4733200150869448,8008.329514440069
63,sell,105.06229848442761,2.2278996790003425,8113.391812924497
64,sell,106.09490959404137,3.592177002589464,8219.486722518537
65,sell,105.96166610195178,4.176778325477788,8325.448388620489
67,sell,107.81097723036874,4.2357430336871476,8433.259365850858
68,sell,108.61500728992543,5.8743696310735025,8541.874373140783
69,sell,108.21658839193333,7.777735946042916,8650.090961532716
70,sell,107.47003999815934,8.004488319734856,8757.561001530876
71,sell,107.37619604206155,8.206917468054117,8864.937197572937
72,sell,108.57793892424523,8.937118811821199,8973.515136497183
73,sell,109.73764313953598,10.27107240303429,9083.252779636718
74,sell,109.81316906774737,9.09704908687066,9193.065948704465
75,sell,111.96979924272455,13.149642983644913,9305.03574794719
76,sell,113.34388384222984,13.255192765387028,9418.37963178942
77,sell,114.81136697113925,15.61176049667356,9533.190998760558
78,sell,114.64961227226014,16.234801750622633,9647.840611032818
79,sell,114.55290581390454,16.191185689004207,9762.393516846721
80,buy,104.070817269303,0.0,9658.322699577418
81,sell,104.84055531642298,5.8880070173134635,9763.163254893841
82,sell,107.35825204722642,8.306433772837016,9870.521506941068
83,sell,107.34091093963436,6.191956465925307,9977.862417880702
84,sell,106.85618678444371,4.892782380247554,10084.718604665146
85,buy,107.12156932765356,0.0,9977.597035337492
86,sell,105.7962000767884,1.6578930124288664,10083.39323541428
88,sell,106.76957768366083,-0.32859082087949376,10190.16281309794
93,buy,103.04664916017555,0.0,10087.116163937764
94,buy,100.4182721300167,0.0,9986.697891807748
95,buy,99.69319291881038,0.0,9887.004698888937
96,buy,98.52382528036104,0.0,9788.480873608576
97,buy,98.62532680870208,0.0,9689.855546799874
98,buy,97.9483757019043,0.0,9591.90717109797
100,buy,97.64213193473006,0.0,9494.26503916324
101,buy,99.55046993494034,0.0,9394.7145692283
102,sell,99.94026895287789,-3.014537816236129,9494.654838181177
103,buy,98.20993756162534,0.0,9396.444900619552
104,buy,97.89659385724919,0.0,9298.548306762303
105,buy,99.14729483719475,0.0,9199.401011925107
106,buy,98.02554624973072,0.0,9101.375465675377
107,buy,98.57866365799237,0.0,9002.796802017385
108,buy,99.42950576908608,0.0,8903.367296248298
110,buy,101.59098482037187,0.0,8801.776311427926
111,sell,102.12368778674319,1.6983120905709248,8903.89999921467
112,buy,101.51326605109625,0.0,8802.386733163574
114,buy,101.01048357839954,0.0,8701.376249585173
115,buy,98.56197212107872,0.0,8602.814277464095
116,buy,98.48071293495559,0.0,8504.333564529139
117,buy,98.97625685055027,0.0,8405.357307678589
118,buy,98.90359918776085,0.0,8306.453708490828
119,buy,99.05568176385714,0.0,8207.39802672697
120,buy,99.34037560487197,0.0,8108.057651122099
121,buy,99.28533596008674,0.0,8008.772315162012
122,buy,98.51807547515273,0.0,7910.254239686859
123,buy,96.30385055212538,0.0,7813.950389134734
124,buy,96.1912280008364,0.0,7717.759161133898
126,sell,100.26200311031425,0.5705607121712989,7818.021164244212
127,sell,101.37000748733954,2.8888263309705584,7919.391171731551
128,sell,101.80978459996822,3.2288438419503054,8021.20095633152
129,sell,101.80409701463941,3.9364831576887,8123.005053346159
130,sell,101.15041073269731,3.592996925049114,8224.155464078856
131,sell,100.96670852622539,1.4226337577417885,8325.122172605083
132,sell,102.02932556033919,3.8890035912274543,8427.151498165422
133,sell,101.10764626836861,3.2800450808346984,8528.25914443379
134,sell,103.08161521833972,3.968157061274682,8631.34075965213
135,sell,103.07206983696233,5.148171859583457,8734.412829489092
136,sell,103.21265109972047,4.700801643857955,8837.625480588813
137,sell,101.99422995008717,2.5794397358842174,8939.6197105389
138,sell,101.02890300926083,-0.5532792226641837,9040.648613548161
139,sell,101.5604992210865,0.04652906149869627,9142.209112769247
140,sell,101.83227297823305,0.8135684245048405,9244.041385747481
141,sell,101.49911920813521,2.980000322485777,9345.540504955618
142,sell,102.31309473856616,3.891504934719329,9447.853599694183
143,sell,102.51172566858257,3.572037305240488,9550.365325362765
144,buy,100.81598286669941,0.0,9449.549342496066
145,sell,101.87522899820577,3.0045719618388347,9551.424571494272
146,sell,100.84122842122271,1.8025686417687874,9652.265799915494
147,sell,100.06145786026174,0.7258702727860534,9752.327257775756
149,sell,101.15349878799769,1.8816100180815847,9853.480756563753
150,sell,101.18550452961155,2.7075529455826355,9954.666261093365
151,sell,100.16891770480834,4.01340873757789,10054.835178798174
152,sell,99.12960713655502,3.0547267113515484,10153.964785934728
153,sell,96.71477512313868,-4.068013450787284,10250.679561057867
155,buy,96.5659387077767,0.0,10154.11362235009
156,sell,96.19926334459251,-0.3797150093407174,10250.312885694682
157,buy,95.31793776317954,0.0,10154.994947931504
158,buy,95.01999853143387,0.0,10059.97494940007
159,buy,95.73406328617693,0.0,9964.240886113894
160,sell,97.2836823009593,2.0623028402730563,10061.524568414854
161,sell,99.37027161460355,4.578271048626205,10160.894840029458
162,sell,99.55220026297864,3.988274231490822,10260.447040292436
163,buy,97.67838093401222,0.0,10162.768659358424
164,buy,98.18673324584961,0.0,10064.581926112574
165,buy,96.99859093066334,0.0,9967.583335181911
166,buy,96.0807690996062,0.0,9871.502566082305
167,buy,95.22553089655685,0.0,9776.277035185747
168,buy,95.42856483269134,0.0,9680.848470353056
169,buy,95.85482358817173,0.0,9584.993646764884
170,buy,96.44026534589646,0.0,9488.553381418988
171,sell,97.10651382025026,-0.5854592472701811,9585.659895239238
173,buy,96.33189331171707,0.0,9489.32800192752
