Stock,Total Gains ($),Returns (%),Total Trades,Win Rate (%),Max Drawdown (%)
DE,1789.32,17.89,160,83.75,86.52
TSLA,3901.22,39.01,158,94.94,69.28
COP,609.38,6.09,172,76.74,35.85
NFLX,6052.16,60.52,164,96.34,98.59
HON,661.41,6.61,174,83.91,57.56
DIS,317.13,3.17,156,79.49,15.27
GOOGL,933.5,9.34,192,78.12,40.32
MSFT,2507.17,25.07,178,79.78,85.31
BMY,76.01,0.76,162,75.31,8.78
CAT,1984.15,19.84,154,80.52,82.39
JNJ,443.41,4.43,168,79.76,61.81
AAPL,1269.71,12.7,186,82.8,54.3
CMCSA,294.48,2.94,206,85.44,13.09
SBUX,474.51,4.75,200,88.0,24.26
SLB,356.11,3.56,156,69.23,14.15
GE,649.48,6.49,170,81.18,23.81
MRK,377.96,3.78,200,82.0,32.21
WFC,290.33,2.9,190,86.32,9.94
C,259.25,2.59,172,81.4,13.41
BAC,146.46,1.46,202,69.31,7.13
MMM,324.15,3.24,174,79.31,14.78
BKR,119.53,1.2,156,80.77,5.45
AMZN,1407.7,14.08,176,89.77,34.99
JPM,918.55,9.19,190,87.37,35.92
ABBV,958.56,9.59,194,87.63,56.43
CVX,418.14,4.18,156,78.21,36.91
PFE,34.96,0.35,204,65.69,3.04
XOM,385.59,3.86,158,83.54,23.62
GS,1971.36,19.71,190,87.37,75.23
NKE,531.5,5.32,182,78.02,24.92
