day,operate,price,investment,total_balance
3,buy,251.89484326761882,0.0,9748.105156732381
5,sell,257.46227509459277,2.2102206439609318,10005.567431826974
10,buy,252.98795405278543,0.0,9752.579477774188
11,sell,257.98927842725243,1.976902178284539,10010.568756201441
18,buy,245.60089195412004,0.0,9764.96786424732
19,sell,248.0067618792182,0.979585174123713,10012.974626126539
20,buy,252.31345154588416,0.0,9760.661174580655
21,buy,249.35918635284722,0.0,9511.301988227808
22,sell,248.3712380024299,-1.5624270205575488,9759.673226230238
23,sell,245.16682810381462,-1.6812527785121743,10004.840054334052
28,buy,246.12466927081638,0.0,9758.715385063237
29,buy,247.21346840930437,0.0,9511.501916653931
30,sell,240.59284556419698,-2.247569787704872,9752.094762218128
31,buy,237.3754449970811,0.0,9514.719317221046
32,buy,237.68687532285549,0.0,9277.03244189819
33,buy,235.7330815551777,0.0,9041.299360343013
35,buy,241.23301398514013,0.0,8800.066346357873
37,sell,252.3411561180037,2.074194315420377,9052.407502475877
38,buy,254.37917884465057,0.0,8798.028323631226
39,sell,253.38611678884078,6.744872786634081,9051.414440420067
43,buy,227.16267661917303,0.0,8824.251763800894
44,buy,224.00382030955734,0.0,8600.247943491337
45,buy,226.0972012962011,0.0,8374.150742195136
46,buy,216.5620572171247,0.0,8157.588684978011
50,buy,224.27193875840385,0.0,7933.316746219607
52,buy,219.12967482221575,0.0,7714.187071397391
53,buy,217.0620958958789,0.0,7497.124975501512
55,buy,220.8266296497604,0.0,7276.298345851752
56,buy,223.2810159921646,0.0,7053.017329859587
57,buy,224.89455232036926,0.0,6828.122777539218
59,buy,228.0136170525293,0.0,6600.109160486689
60,buy,216.1876833705437,0.0,6383.921477116145
61,buy,213.2236762040484,0.0,6170.697800912097
62,buy,209.36765796845975,0.0,5961.330142943637
63,buy,216.36374240641453,0.0,5744.966400537222
64,buy,220.9453720903584,0.0,5524.021028446864
65,buy,221.24911469221115,0.0,5302.771913754653
70,buy,223.59360218236,0.0,5079.178311572293
73,buy,223.56441917097982,0.0,4855.613892401313
74,buy,217.9807171825596,0.0,4637.633175218753
75,buy,216.63562361385993,0.0,4420.9975516048935
76,sell,214.78303113728361,-9.636141732462535,4635.780582742177
78,buy,217.45845705879762,0.0,4418.322125683379
81,buy,210.62174378240888,0.0,4207.700381900971
82,buy,214.86715279124112,0.0,3992.8332291097295
83,sell,215.2254824883712,-8.699499845975721,4208.058711598101
84,buy,213.3835990771095,0.0,3994.675112520991
85,sell,212.99553315372123,-11.70547943042254,4207.670645674712
87,buy,209.48630068116563,0.0,3998.184344993547
88,buy,212.13745964933696,0.0,3786.04688534421
89,buy,207.5910252513513,0.0,3578.4558600928585
90,sell,212.20081457189733,-16.58090275482475,3790.656674664756
91,buy,215.25023517910086,0.0,3575.406439485655
92,sell,214.9170813695746,-5.390672196615983,3790.3235208552296
93,buy,214.48192704823853,0.0,3575.841593806991
94,buy,212.41218864573784,0.0,3363.4294051612533
96,buy,209.86687808028543,0.0,3153.562527080968
97,sell,210.83121703659344,-5.880526169044929,3364.3937441175613
98,buy,211.59373504958788,0.0,3152.8000090679734
